name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2018 Volkswagen Arteon MY18,https://www.cars24.com.au/buy-used-volkswagen-arteon-car-19266415298304/,"$31,090",66k kms,Automatic,Petrol,Sedan,20251106,cars24
2023 MG Mg5 MY24,https://www.cars24.com.au/buy-used-mg-mg5-car-18927305213248/,"$21,395",21k kms,Automatic,Petrol,Sedan,20251106,cars24
2021 Toyota Corolla MY21,https://www.cars24.com.au/buy-used-toyota-corolla-car-18769229090688/,"$23,490",63k kms,Automatic,Petrol,Sedan,20251106,cars24
2023 Kia Cerato MY24,https://www.cars24.com.au/buy-used-kia-cerato-car-19165253928192/,"$22,090",30k kms,Automatic,Petrol,Sedan,20251106,cars24
,,,,,,Sedan,20251106,cars24
2022 Tesla Model 3,https://www.cars24.com.au/buy-used-tesla-model-3-car-17207799625856/,"$37,399",32k kms,Automatic,Electric,Sedan,20251106,cars24
2018 Kia Cerato MY19,https://www.cars24.com.au/buy-used-kia-cerato-car-19786932210112/,"$19,590",78k kms,Automatic,Petrol,Sedan,20251106,cars24
,,,,,,Sedan,20251106,cars24
2021 Toyota Corolla MY21,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414822978176/,"$26,190",34k kms,Automatic,Hybrid,Sedan,20251106,cars24
2018 Toyota Camry MY18,https://www.cars24.com.au/buy-used-toyota-camry-car-19565173476672/,"$26,890",90k kms,Automatic,Hybrid,Sedan,20251106,cars24
2023 Toyota Corolla MY23,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791424695744/,"$27,990",53k kms,Automatic,Hybrid,Sedan,20251106,cars24
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19549841677696/,"$26,590",61k kms,Automatic,Hybrid,Sedan,20251106,cars24
2022 Toyota Camry MY22,https://www.cars24.com.au/buy-used-toyota-camry-car-19553268405824/,"$32,390",58k kms,Automatic,Hybrid,Sedan,20251106,cars24
2020 Toyota Camry MY20,https://www.cars24.com.au/buy-used-toyota-camry-car-19382069032000/,"$29,090",52k kms,Automatic,Hybrid,Sedan,20251106,cars24
2023 Toyota Corolla MY23,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791446715328/,"$25,990",55k kms,Automatic,Petrol,Sedan,20251106,cars24
2023 Toyota Corolla MY23,https://www.cars24.com.au/buy-used-toyota-corolla-car-19791497579200/,"$26,090",58k kms,Automatic,Petrol,Sedan,20251106,cars24
2022 Toyota Camry MY23,https://www.cars24.com.au/buy-used-toyota-camry-car-19553080578368/,"$27,090",57k kms,Automatic,Petrol,Sedan,20251106,cars24
2022 Toyota Camry MY22,https://www.cars24.com.au/buy-used-toyota-camry-car-19553241554816/,"$33,190",53k kms,Automatic,Hybrid,Sedan,20251106,cars24
2020 Toyota Camry,https://www.cars24.com.au/buy-used-toyota-camry-car-19481556098112/,"$29,890",36k kms,Automatic,Hybrid,Sedan,20251106,cars24
2023 Toyota Camry MY23,https://www.cars24.com.au/buy-used-toyota-camry-car-19662557743232/,"$33,790",48k kms,Automatic,Hybrid,Sedan,20251106,cars24
2021 Toyota Camry MY21,https://www.cars24.com.au/buy-used-toyota-camry-car-19497117816640/,"$31,090",58k kms,Automatic,Hybrid,Sedan,20251106,cars24
2023 Hyundai Ioniq 6,https://www.cars24.com.au/buy-used-hyundai-ioniq-6-car-17115786185984/,"$46,699",12k kms,Automatic,Electric,Sedan,20251106,cars24
2022 Toyota Camry MY22,https://www.cars24.com.au/buy-used-toyota-camry-car-19146116526848/,"$32,390",43k kms,Automatic,Hybrid,Sedan,20251106,cars24
2022 Toyota Camry MY22,https://www.cars24.com.au/buy-used-toyota-camry-car-19662626687872/,"$33,590",48k kms,Automatic,Hybrid,Sedan,20251106,cars24
2022 Toyota Camry MY22,https://www.cars24.com.au/buy-used-toyota-camry-car-19553105369792/,"$33,090",55k kms,Automatic,Hybrid,Sedan,20251106,cars24
2017 Subaru WRX MY17,https://www.cars24.com.au/buy-used-subaru-wrx-car-19108973053376/,"$27,790",107k kms,Automatic,Petrol,Sedan,20251106,cars24
2016 Toyota Corolla MY16,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414385721792/,"$16,890",112k kms,Automatic,Petrol,Sedan,20251106,cars24
2020 Toyota Camry MY20,https://www.cars24.com.au/buy-used-toyota-camry-car-19375692988800/,"$26,490",113k kms,Automatic,Hybrid,Sedan,20251106,cars24
2023 Kia Cerato MY23,https://www.cars24.com.au/buy-used-kia-cerato-car-19165149070592/,"$22,490",41k kms,Automatic,Petrol,Sedan,20251106,cars24
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19244273540352/,"$23,790",60k kms,Automatic,Petrol,Sedan,20251106,cars24
